"name","score","color"
"sunless-tanning",1.72420634920635,"#D94801"
"tanning-oil",1.96590909090909,"#D94801"
"concealer-foundation",3.10460204535349,"#FD8D3C"
"after-shave",3.13333333333333,"#FD8D3C"
"fragrance-for-men",3.19346733668342,"#FD8D3C"
"shaving-cream",3.7289156626506,"#FD8D3C"
"moisturizer",3.82313901345291,"#FD8D3C"
"nail-polish",3.88868538868539,"#FD8D3C"
"sunscreen-below-spf-15",3.94117647058824,"#FD8D3C"
"conditioner",3.97715959004392,"#FD8D3C"
"foot-care",4.00682128240109,"#FDAE6B"
"bubble-bath",4.01238390092879,"#FDAE6B"
"eye-makeup",4.0184462949299,"#FDAE6B"
"anti-aging",4.07681228996639,"#FDAE6B"
"lipstick-lip-gloss-balm",4.08410911452695,"#FDAE6B"
"shampoo",4.08602941176471,"#FDAE6B"
"sunscreen-spf-15-above",4.23333333333333,"#FDAE6B"
"baby-sunscreen",4.38333333333333,"#FDAE6B"
"body-wash-cleanser",4.43413667877187,"#FDAE6B"
"fragrance-for-women",4.47444551591128,"#FDAE6B"
"baby-wipes",4.6046511627907,"#FDAE6B"
"hair-spray",4.63816925734024,"#FDAE6B"
"feminine-moisturizer",4.88888888888889,"#FDAE6B"
"toothpaste",4.99305555555556,"#FDAE6B"
"feminine-powder_deodorant",5.05263157894737,"#FDD0A2"
"deodorants-antiperspirants-mens",5.12269938650307,"#FDD0A2"
"personal-cleansing",5.24844720496894,"#FDD0A2"
"deodorants-antiperspirants-womens",5.28854625550661,"#FDD0A2"
"baby-lotion",5.38047138047138,"#FDD0A2"
"soap",5.44133045888512,"#FDD0A2"
"mouthwash",5.62102689486553,"#FDD0A2"
"hand-sanitizer",5.69318181818182,"#FDD0A2"
"scrubs-oils-powders",5.97176625082075,"#FDD0A2"
"baby-shampoo",6.09183673469388,"#FEE6CE"
"baby-soap-bath",6.10649350649351,"#FEE6CE"
"dental-floss",8.47058823529412,"#CDCDCD"
